start,end,title,url,location,tags,notes,data,id,lat,lon
2016-05-29,2016-05-31,YAMAHA OrchestranDo Music Festival,https://images.tommi.space/index?/category/orchestrando-festival-2016,Pergine in Valsugana,orchestrando music,,,orchestrando2016,,
,2019-04-17,Concerto dell’orchestra n°1 delle Scuole Europee di Bruxelles con l’orchestra Note Libere,https://images.tommi.space/index?/category/orchestra-delle-scuole-europee-di-bruxelles-e-note-libere-al-cas,Teatro del Casino di Sanremo,music host,"ho presentato il concerto mentre i miei amici giravano per le riprese del mio cortometraggio <a href=""https://tommi.space/it/everyone"" target=""_blank"" title=""Everyone"">Everyone</a>; nelle scene a teatro ci sono le riprese proprio di quel giorno",,,,
,2019-08-30,Everyone Premiere,https://images.tommi.space/index?/category/everyone-premiere,Riva Ligure,cinema,"<a href=""https://www.sanremonews.it/2019/08/28/leggi-notizia/argomenti/eventi-1/articolo/riva-ligure-everyone-love-awakens-tommi-boom-presenta-a-sanremonews-la-sua-opera-prima.html"" target=""_blank"" title=""Riva Ligure: “Everyone – Love Awakens”, Tommi Boom presenta a SanremoNews la sua opera prima…e unica"">Intervista su SanremoNews</a>",,everyone,,
,2019-10-12,Rockin1000 - No borders on board,https://www.rockin1000.com/it/tl_linate.php,Milano,music,"mi sono infiltrato nel dietro le quinte grazie al mio amico <a href=""https://instagram.com/matteo_cifani/"" target=""_blank"" title=""@matteo_cifani su Instagram"">Matteo Cifani</a>. <a href=""https://images.tommi.space/index?/category/rockin1000-linate"" target=""_blank"" title=""Rockin1000 Linate"">foto</a>",,rockin1000,,
,2019-10-13,Deejay Ten,https://images.tommi.space/index?/category/deejayten2019,Milano,,"sempre grazie a <a href=""https://instagram.com/matteo_cifani/"" target=""_blank"" title=""@matteo_cifani su Instagram"">Matteo Cifani</a>, sono andato in giro per il centro di Milano a fare scatti per la <a href=""https://deejayten.deejay.it/milano/"" target=""_blank"" title=""Deejay Ten"">Deejay Ten</a>, la maratona di <a href=""https://deejay.it"" target=""_blank"" title=""Radio Deejay"">Radio Deejay</a>",,deejayten2019,,
,2018-05-25,Mouse Trap Grand Prix,https://images.tommi.space/index?/category/mouse-trap-car-grand-prix-2018,Monaco,prize,"<a href=""https://youtu.be/EgQQ6rDfxr0"" target=""_blank"" title=""INTERVISTA A TOMMI BOOM - MOUSE TRAP CAR GRAND PRIX MONACO 2018"">video intervista</a>, <a href=""https://www.riviera24.it/2018/05/tommaso-marmo-del-liceo-cassini-di-sanremo-vince-il-primo-premio-al-monaco-mouse-trap-grand-prix-286175/#post-photogallery"" target=""_blank"" title=""Tommaso Marmo del liceo Cassini di Sanremo vince il primo premio al Monaco Mouse Trap Grand Prix"">articolo su Riviera24</a>",,mousetrap,,
,2017-08-08,Imperia Unplugged Festival,https://www.imperiamusicale.it/imperia-unplugged-festival-2017-3-edizione/,Imperia,music,"reclutato come volontario da <a href=""https://www.imperiamusicale.it/"" target=""_blank"" title=""Imperia Musicale"">Imperia Musicale</a>",,unplugged2017,,
,2018-08-08,Imperia Unplugged Festival,https://www.imperiamusicale.it/imperia-unplugged-festival-2018/,Imperia,music,,,,,
2019-08-06,2019-08-07,Imperia Unplugged Festival,https://www.imperiamusicale.it/imperia-unplugged-festival-2019-5-edizione/,Imperia,music,,,,,
,2017-12-23,Briciole di Rock,https://www.imperiamusicale.it/eventi/,Imperia,music,,,,,
2017-11-07,2018-06-30,Rappresentante d’Istituto,,Liceo G.D. Cassini Sanremo,school,,,,,
2021-09-17,2021-09-19,Campo di Formazione Tirocinanti,,Mestre,scout,"a.k.a. CFT, il primo di campo di formazione per capi scout, a seguito del quale ho scritto <a href='https://tommi.space/cft' target='_blank' title='“Tirocinanti Saltellanti” su tommi.space'>questo articolo</a>",,,"45,493003","12,241339"
